experiment,setting,grammar,model,sample_count,average_length,state_count,transition_count,state_coverage,transition_coverage,path_coverage,distinct_2gram_count,distinct_2gram_samples,distinct_3gram_count,distinct_3gram_samples,vendi_score,average_perplexity,perplexity_count,perplexity_error_count,temperature,ablation_component
diversity,baseline,css-color,Qwen/Qwen2.5-1.5B-Instruct,1000,16.516,1309,7495,0.026737967914438502,0.017078052034689793,0.018118059614260665,134,1000,303,1000,11.049959473397813,,0,0,,
diversity,baseline,email,Qwen/Qwen2.5-1.5B-Instruct,1000,51.369,43,1594,0.20930232558139536,0.1468005018820577,0.1282051282051282,982,1000,3820,1000,245.52891538728946,,0,0,,
diversity,baseline,json,Qwen/Qwen2.5-1.5B-Instruct,1000,54.799,216,10192,0.18055555555555555,0.005690737833594976,0.06300268096514745,49,1000,64,1000,3.0238819122672695,,0,0,,
diversity,baseline,no-bomb,Qwen/Qwen2.5-1.5B-Instruct,1000,72.444,12,1213,0.3333333333333333,0.0494641384995878,0.11764705882352941,377,1000,1212,1000,32.83309399643158,,0,0,,
diversity,diverse,css-color,Qwen/Qwen2.5-1.5B-Instruct,1000,11.714,1309,7495,0.49732620320855614,0.1798532354903269,0.3278784336645237,554,1000,1594,1000,135.98970922774433,,0,0,,
diversity,diverse,email,Qwen/Qwen2.5-1.5B-Instruct,1000,51.415,43,1594,0.9302325581395349,0.21141781681304894,0.6495726495726496,1033,1000,3940,1000,238.36913013226336,,0,0,,
diversity,diverse,json,Qwen/Qwen2.5-1.5B-Instruct,1000,50.351,216,10192,0.5555555555555556,0.035812401883830454,0.28820375335120646,300,1000,527,1000,7.628614267067826,,0,0,,
diversity,diverse,no-bomb,Qwen/Qwen2.5-1.5B-Instruct,1000,73.22,12,1213,0.9166666666666666,0.20692497938994228,0.6862745098039216,890,1000,2080,1000,54.35851497989177,,0,0,,
